,s1_mean,s2_mean,s3_mean,x_mean,y_mean,z_mean,s1_variation,s2_variation,s3_variation,x_variation,y_variation,z_variation,s1_std,s2_std,s3_std,x_std,y_std,z_std,s1_median,s2_median,s3_median,x_median,y_median,z_median,s1_max,s2_max,s3_max,x_max,y_max,z_max,s1_min,s2_min,s3_min,x_min,y_min,z_min,s1_skew,s2_skew,s3_skew,x_skew,y_skew,z_skew,s1_kurtosis,s2_kurtosis,s3_kurtosis,x_kurtosis,y_kurtosis,z_kurtosis,s1_moment,s2_moment,s3_moment,x_moment,y_moment,z_moment,s1_kstatvar,s2_kstatvar,s3_kstatvar,x_kstatvar,y_kstatvar,z_kstatvar,s1_tvar,s2_tvar,s3_tvar,x_tvar,y_tvar,z_tvar,s1_sem,s2_sem,s3_sem,x_sem,y_sem,z_sem,s1_entropy,s2_entropy,s3_entropy,x_entropy,y_entropy,z_entropy,s2_peak_len,s2_peak_prom,s2_peak_width,s2_peak_height,s2_weight_pred_k,x_peak_len,x_peak_prom,x_peak_width,x_peak_height,x_weight_pred_k,y_peak_len,y_peak_prom,y_peak_width,y_peak_height,y_weight_pred_k,z_peak_len,z_peak_prom,z_peak_width,z_peak_height,z_weight_pred_k,s2_peak_len_50_110,s2_peak_len_20_300,x_peak_len_20_150,x_peak_len_50_200,y_peak_len_50_110,y_peak_len_50_200,s2_peak_prom_sit,s2_peak_prom_stand,x_peak_prom_sit,x_peak_prom_stand,y_peak_prom_sit,y_peak_prom_stand,x_y_corr,z_y_corr,x_z_corr,id,Name,Kg,Target
0,91.0025,88.84,127.6475,178.6475,-58.6525,-1331.735,1.408887609,0.8919577412,1.271568441,5.805104064,-9.144326974,-0.5756525959,128.2122946,79.24152573,162.3125326,1037.067328,536.3376378,766.6167098,9,45,21,95,-39,-958,422,378,509,4079,2279,126,-12,19,-7,-2238,-2438,-4993,1.184123405,1.266867485,1.055267315,1.681871711,-0.2928222048,-1.055813895,-0.155966182,0.733795909,-0.3644848779,3.881071996,7.540025892,0.9765980874,16438.39249,6279.2194,26345.35824,1075508.643,287658.0617,587701.1798,625932.015,135459.3055,1425696.878,8553196033,992699044.9,1292103157,16458.9662,6287.078248,26378.33116,1076854.712,288018.0843,588436.7257,4.535824925,2.80336366,5.742204624,36.68880469,18.97426166,27.1209496,0,6.339281729,0,0,0,0,9,322,15.52230557,348,2675.286822,9,5386,9.847558352,3773,65043.90859,9,3644,17.52081183,1903,80283.77067,0,0,0,0,0,9,9,19,9,9,9,1,0.9316770186,16.70031056,16.70031056,11.31677019,11.31677019,-0.8104649879,0.2602193464,-0.3569733118,user_1,a,89.2,Walking
1,90.14,81.1725,140.385,148.815,-20.315,-1343.855,1.308427803,0.8360503438,1.250637502,6.742589762,-26.95667529,-0.6271974498,117.9416822,67.86429653,175.5707458,1003.398496,547.6248586,842.8624289,9,39,17,81,-39.5,-954,347,331,530,4274,2182,154,-7,15,-6,-2153,-2537,-6478,0.9170432449,1.124751669,0.8900317621,1.889477194,-0.8014764585,-1.659978625,-0.8141935629,0.5412795877,-0.7831936903,5.114007764,8.709277049,5.742950517,13910.2404,4605.562744,30825.08677,1006808.541,299892.9858,710417.074,578408.1548,136191.17,2914930.798,18242702886,2437116955,9886421985,13945.10316,4617.105508,30902.34263,1009331.87,300644.5973,712197.5679,5.904469315,3.397464315,8.789531078,50.23275501,27.41553379,42.19589932,0,5.677231577,0,0,0,0,4,302.5,5.731958595,323,5811.998158,5,5381,9.904450932,3634,54081.9462,5,3456,32.77820731,1708,153598.6794,1,3251,15.67716793,154,0,4,4,9,5,5,5,1,0.9719008264,17.78842975,17.78842975,11.42479339,11.42479339,-0.7523365908,0.2847373141,-0.3378887505,user_2,a,89.2,Walking
2,82.98763906,83.8566131,125.197775,193.7725587,-18.63906057,-1245.443758,1.4017688,0.878345623,1.256102966,4.61790954,-26.37812757,-0.5140988824,116.3294832,73.65508908,157.2612966,894.8241474,491.6635174,640.2812439,12,44,24,101,-42,-952,446,352,514,3589,2315,-80,-6,18,-4,-3654,-2098,-3183,1.23682186,1.289002497,1.048499182,1.279479855,-0.07579708845,-0.8962476281,0.03215685747,0.791169587,-0.3994471572,3.738119353,4.745388016,0.2885149654,13532.54867,5425.072147,24731.1154,800710.2548,241733.0143,409960.0713,462304.0658,102082.753,1215698.969,4573757703,490071694.1,477867416.1,13549.29688,5431.786345,24761.72321,801701.2329,242032.1889,410467.4476,4.09245694,2.591176992,5.532433107,31.47980365,17.29666218,22.52501556,0,6.362487455,0,0,0,6.567922517,9,285,15.0872449,309,5274.781433,10,4139,11.77334969,2924,54096.99384,8,2962,23.06462798,1499.5,63392.94351,0,0,0,0,0,9,7,20,9,8,8,0.9913043478,0.9913043478,14.39652174,14.39652174,10.3026087,10.3026087,-0.7010824308,0.1194395901,-0.3382022605,user_3,a,89.2,Walking
3,92.17775091,90.44860943,127.8935913,117.1318017,-81.95767836,-1366.386941,1.392876772,0.9116434417,1.285313976,9.293951305,-6.708591947,-0.5705627093,128.3922481,82.4568816,164.3834203,1088.617261,549.820621,779.6094348,9,42,20,40,-64,-983,411,375,535,4768,2293,419,-4,13,-7,-2547,-2949,-3595,1.120057981,1.107423185,1.045811978,1.669033318,-0.4529245962,-0.7533733677,-0.3499078712,0.03614441251,-0.4185112722,4.142922042,7.564994234,-0.04583657862,16484.56937,6799.137323,27021.90887,1185087.541,302302.7153,607790.8708,544691.7354,114373.2398,1402677.655,10491297663,1063122571,877113468.8,16504.52648,6807.368724,27054.62305,1186522.272,302668.6992,608526.6951,4.467337661,2.869041847,5.719630704,37.8778389,19.13070612,27.12608152,0,6.348449396,0,0,0,0,9,304,19.12104363,324,6366.832835,9,5695,10.41806847,3634,58881.66211,10,3576,22.71017182,1874.5,139735.4627,2,3721.5,15.09281682,392,60743.49226,9,7,16,9,10,10,1,0.9901315789,18.73355263,18.73355263,11.76315789,11.76315789,-0.8394722582,0.4129347225,-0.4240873321,user_4,a,89.2,Walking
4,96.85661765,91.58088235,142.4926471,170.0980392,-106.3897059,-1390.821078,1.329081114,0.888812503,1.209626003,6.954970474,-5.384627085,-0.5863277168,128.7303013,81.39823327,172.3628112,1183.02684,572.8688918,815.4769474,10,46,27,62,-87,-982,400,415,535,4183,2664,138,-13,16,-7,-3058,-4095,-3515,1.049402346,1.30019739,0.9375855081,1.521990118,-0.2888061161,-0.8280149479,-0.4697582428,1.283676268,-0.6182821829,3.418807471,12.0942713,-0.1353418447,16571.49047,6625.67238,29708.93867,1399552.505,328178.7672,665002.6518,517323.5344,177611.5374,1501059.053,13081599270,1871385517,1015429927,16591.82359,6633.802039,29745.39136,1401269.747,328581.4406,665818.606,4.509225781,2.851255752,6.03760594,41.4396228,20.06672206,28.56491159,0,6.356838027,0,0,0,0,10,356,4.955962171,386,1625.706257,10,6269,9.949674666,4034.5,72116.38941,9,4090,12.04871202,2186,39107.04056,0,0,0,0,0,10,10,17,10,9,9,1,0.9789325843,17.60955056,17.60955056,11.48876404,11.48876404,-0.8106948094,0.3228264328,-0.3536929794,user_5,a,89.2,Walking
5,99.13678161,98.71954023,137.7862069,157.3218391,-94.27356322,-1398.896552,1.347895578,0.8816682097,1.238231301,7.177573519,-5.824681468,-0.5853952824,133.6260296,87.0378803,170.6111942,1129.189066,549.1134766,818.907442,9,47,24,54,-81,-989,419,416,530,4214,2408,296,-12,20,-4,-2842,-2822,-5377,1.048509563,1.166456669,0.9514195935,1.652849784,-0.08408202622,-1.0656925,-0.4682027396,0.5657015683,-0.595055881,3.737750298,7.198227458,1.301999934,17855.91577,7575.592607,29108.17958,1275067.947,301525.6102,670609.3985,563759.2984,170071.0895,1373910.28,10779899074,966550235.9,1715514136,17876.46343,7584.310205,29141.67576,1276535.229,301872.5902,671381.1009,4.532952583,2.952557863,5.787588361,38.30511548,18.62739887,27.7795323,0,6.421650483,0,0,0,0,10,361,10.10239501,396.5,2925.818182,10,5872.5,9.945009269,3865.5,63733.1522,10,3642,20.53315231,1814.5,47158.63307,3,3464,15.95438839,199,59599.66064,10,10,18,10,10,10,1,0.959833795,16.26731302,16.26731302,10.08864266,10.08864266,-0.7931637194,0.3800656917,-0.3551044454,user_6,a,89.2,Walking
6,91.36,89.88625,138.2925,134.7125,-111.275,-1358.9675,1.333369488,0.868237063,1.224187037,7.864076613,-4.536781461,-0.6079999498,121.8166364,78.04257371,169.2958858,1059.389421,504.830357,826.2521718,9,43,25,48,-109,-963,396,372,514,4675,2287,99,-6,18,-9,-2982,-2553,-7038,1.022153906,1.130246919,0.9072219123,1.738324166,0.1439447337,-1.554603595,-0.5639916942,0.3167129734,-0.7438664158,4.365448652,7.068481579,5.213569166,14839.2929,6090.643311,28661.09694,1122305.945,254853.6894,682692.6514,397059.328,107983.7566,1295343.678,10081141714,740671197.8,4227454012,14857.86523,6098.266144,28696.96815,1123710.583,255172.6552,683547.0853,4.309562801,2.760947786,5.9892579,37.47850356,17.85961419,29.23070058,0,6.348114031,0,0,0,0,9,312,16.69570267,332,3151.594121,10,5363,8.764662248,3637,65002.70359,9,3198,17.93116951,1784,77360.72725,0,0,0,0,0,9,9,15,10,9,9,1,0.9455128205,17.18910256,17.18910256,10.25,10.25,-0.7947034652,0.416562396,-0.3752054665,user_7,a,89.2,Walking
7,92.51102941,86.60416667,132.6911765,161.0735294,-101.1838235,-1343.921569,1.337173139,0.8780930316,1.235220541,6.347797068,-4.977567129,-0.6119374073,123.7032636,76.04651526,163.9028667,1022.462078,503.649274,822.3958804,11,44,23.5,56,-99,-961,423,435,496,3935,2151,160,-8,14,-9,-2369,-2602,-6131,1.065964708,1.266648924,0.9382110429,1.645229809,-0.1601308916,-1.582208796,-0.3980202686,1.149040568,-0.6663446885,3.698065572,7.052061911,4.53900208,15302.49743,5783.072483,26864.14973,1045428.7,253662.5912,676334.984,461840.3678,129757.5334,1184584.73,7675464017,717989289.1,3686782978,15321.2735,5790.168277,26897.11187,1046711.435,253973.8337,677164.8429,4.333136331,2.663793246,5.741267012,35.81528447,17.6420646,28.80727124,0,6.364369193,0,0,0,0,9,312,10.9302893,333,2806.580164,9,5467,10.28481233,3490,62290.11352,9,3278,14.38177332,1772,97738.2955,1,5682,21.97695946,160,0,9,8,16,9,9,9,1,0.9967948718,17.5224359,17.5224359,10.50641026,10.50641026,-0.817078327,0.2958303092,-0.3623204393,user_8,a,89.2,Walking
8,91.84862385,85.74082569,128.6766055,182.5137615,-116.4357798,-1367.504587,1.394146624,0.9111814933,1.282357901,5.977279853,-4.788438985,-0.5797267281,128.0504489,78.12545359,165.0094618,1090.935829,557.5456274,792.7789599,7.5,43,19.5,78,-93,-985,405,391,503,3769,1961,31,-6,17,-3,-2153,-2859,-3482,1.116367174,1.323839603,1.033934644,1.671975661,-0.7362277768,-0.8907293912,-0.3586605921,0.9878468636,-0.4526913515,3.465039335,7.053924813,-0.03866124701,16396.91745,6103.586498,27228.12248,1190140.984,310857.1266,628498.4793,1020977.656,257851.7818,2653577.593,17944621200,2028837738,1793300329,16434.61152,6117.617732,27290.71587,1192876.94,311571.7407,629943.3034,6.139549097,3.745828791,7.911598133,52.30636944,26.73226672,38.01084175,0,5.720757834,0,0,0,0,5,326,8.630985915,346,3254.741197,5,5516,10.0783557,3753,58142.03406,5,3083,21.56854103,1495,91152.0599,0,0,0,0,0,5,5,10,5,5,5,1,0.9141104294,16.9202454,16.9202454,9.457055215,9.457055215,-0.81136718,0.3312825242,-0.3639701292,user_9,a,89.2,Walking
9,88.52184769,82.26841448,130.360799,169.1797753,-103.8289638,-1328.893883,1.36462957,0.8827993031,1.254285916,6.271710654,-5.429559589,-0.5805657378,120.7995309,72.62649897,163.5097142,1061.046599,563.745546,771.5102575,9,43,23,60,-83,-956,373,362,514,4222,2065,91,-12,12,-7,-2076,-4038,-3378,1.070950772,1.164487916,0.9648597097,1.847607073,-1.093632734,-0.844555958,-0.4609136308,0.4292828721,-0.6125585912,4.145252465,10.36742876,-0.02362315894,14592.52668,5274.608353,26735.42663,1125819.885,317809.0407,595228.0774,411056.6673,84819.31527,1243625.056,9781014705,1568942648,878557929.1,14610.76733,5281.201614,26768.84591,1127227.16,318206.302,595972.1125,4.270908375,2.567734496,5.780941384,37.51366227,19.93141492,27.27700674,0,6.339751325,0,0,0,0,9,281,15.05551086,304,1726.005658,9,5570,9.935393498,3872,54097.00855,9,3538,24.19322756,1639,323660.1468,0,0,0,0,0,9,6,17,9,9,9,1,0.9822064057,19.82206406,19.82206406,12.59074733,12.59074733,-0.828718326,0.2947320746,-0.3563811575,user_10,a,89.2,Walking
